Probe,logFC,p.val,adj.p.val
1633004_at,-1.85E-01,1.68E-04,9.49E-03
1627004_at,8.73E-02,1.69E-04,9.49E-03
1630212_at,-3.13E-01,1.69E-04,9.49E-03
1639994_at,-2.15E-01,1.71E-04,9.55E-03
1633319_at,7.60E-02,1.71E-04,9.55E-03
1639897_at,-3.19E-01,1.73E-04,9.63E-03
1637872_at,-1.26E-01,1.76E-04,9.75E-03
1628594_at,2.54E-01,1.78E-04,9.86E-03
1623849_s_at,-1.26E-01,1.80E-04,9.89E-03
1623777_s_at,9.21E-02,1.81E-04,9.95E-03
1633563_at,2.05E-01,1.83E-04,1.00E-02
1630140_at,1.62E-01,1.86E-04,1.02E-02
1632277_a_at,-9.33E-02,1.90E-04,1.03E-02
1627176_at,-7.06E-02,1.90E-04,1.03E-02
1624099_at,9.66E-02,1.92E-04,1.04E-02
1635886_s_at,2.91E-01,1.93E-04,1.04E-02
1634170_a_at,1.07E-01,1.93E-04,1.04E-02
1624984_at,1.13E-01,1.94E-04,1.04E-02
1626208_at,8.25E-02,1.97E-04,1.05E-02
1638274_s_at,-6.89E-02,1.97E-04,1.05E-02
1627436_s_at,1.84E-01,1.98E-04,1.05E-02
1639770_at,-2.03E-01,2.00E-04,1.06E-02
1639826_at,-1.33E-01,2.02E-04,1.07E-02
1636236_at,9.63E-02,2.03E-04,1.07E-02
1623524_at,2.43E-01,2.04E-04,1.07E-02
1632091_at,1.07E-01,2.06E-04,1.08E-02
1632632_at,-6.18E-02,2.10E-04,1.10E-02
1623790_at,4.42E-01,2.12E-04,1.10E-02
1628389_at,5.59E-02,2.12E-04,1.10E-02
1627091_at,-1.17E-01,2.13E-04,1.11E-02
1638717_at,2.74E-01,2.14E-04,1.11E-02
1623646_at,-9.92E-02,2.16E-04,1.12E-02
1639136_s_at,1.43E-01,2.18E-04,1.12E-02
1628839_at,-1.20E-01,2.18E-04,1.12E-02
1632819_at,1.01E-01,2.19E-04,1.12E-02
1632540_at,-1.69E-01,2.20E-04,1.12E-02
1626351_at,-1.49E-01,2.21E-04,1.12E-02
1636742_at,1.12E-01,2.21E-04,1.12E-02
1631182_at,1.04E-01,2.25E-04,1.14E-02
1631877_a_at,1.03E-01,2.26E-04,1.14E-02
1633611_s_at,-1.03E-01,2.29E-04,1.15E-02
1629098_at,-2.59E-01,2.31E-04,1.16E-02
1639240_a_at,8.95E-02,2.31E-04,1.16E-02
1639177_at,-1.13E-01,2.32E-04,1.16E-02
1624969_s_at,-9.94E-02,2.32E-04,1.16E-02
1633641_a_at,-7.44E-02,2.37E-04,1.18E-02
1636409_at,3.74E-01,2.38E-04,1.18E-02
1630359_at,4.38E-01,2.39E-04,1.18E-02
1636087_at,4.83E-01,2.42E-04,1.19E-02
1629948_at,-9.76E-02,2.42E-04,1.19E-02
1636708_at,6.49E-02,2.43E-04,1.19E-02
1636605_at,-1.05E-01,2.46E-04,1.21E-02
1633746_s_at,-1.10E-01,2.48E-04,1.21E-02
1633617_at,1.09E-01,2.49E-04,1.21E-02
1624966_at,-2.34E-01,2.50E-04,1.22E-02
1637023_at,-1.10E-01,2.51E-04,1.22E-02
1624897_at,2.40E-01,2.53E-04,1.22E-02
1638489_at,1.98E-01,2.54E-04,1.23E-02
1636440_at,6.36E-02,2.57E-04,1.23E-02
1637828_a_at,1.24E-01,2.57E-04,1.23E-02
1634095_at,-8.41E-02,2.58E-04,1.23E-02
1634944_at,-1.28E-01,2.62E-04,1.25E-02
1626621_at,1.38E-01,2.62E-04,1.25E-02
1639448_at,8.17E-02,2.66E-04,1.26E-02
1628730_at,-1.18E-01,2.66E-04,1.26E-02
