Probe,logFC,p.val,adj.p.val
1627899_at,2.77E-01,8.54E-05,3.45E-03
1639868_at,1.84E-01,8.79E-05,3.54E-03
1630233_at,2.45E-01,8.79E-05,3.54E-03
1640539_a_at,1.58E-01,8.94E-05,3.59E-03
1636902_at,-2.48E-01,8.99E-05,3.60E-03
1631606_at,2.04E-01,9.04E-05,3.61E-03
1641470_s_at,2.05E-01,9.06E-05,3.61E-03
1636524_at,-4.72E-01,9.13E-05,3.62E-03
1639297_at,4.53E-01,9.13E-05,3.62E-03
1633928_at,-2.99E-01,9.15E-05,3.62E-03
1638795_at,1.74E-01,9.15E-05,3.62E-03
1632442_at,-1.66E-01,9.25E-05,3.65E-03
1626621_at,1.78E-01,9.27E-05,3.65E-03
1637123_a_at,-1.90E-01,9.36E-05,3.68E-03
1637120_at,-2.02E-01,9.42E-05,3.70E-03
1628950_at,1.86E-01,9.57E-05,3.75E-03
1628389_at,7.70E-02,9.75E-05,3.81E-03
1635138_at,-1.21E-01,9.78E-05,3.81E-03
1625402_at,-1.83E-01,9.92E-05,3.86E-03
1635045_at,-1.58E-01,9.98E-05,3.87E-03
1638634_at,1.15E-01,1.02E-04,3.95E-03
1623447_a_at,-2.76E-01,1.02E-04,3.95E-03
1624205_at,-1.34E-01,1.02E-04,3.95E-03
1637004_at,9.83E-02,1.03E-04,3.97E-03
1623349_x_at,2.64E-01,1.04E-04,3.98E-03
1637086_at,2.64E-01,1.05E-04,4.01E-03
1633031_at,-6.24E-01,1.05E-04,4.01E-03
1635047_s_at,1.89E-01,1.05E-04,4.01E-03
1624966_at,-3.28E-01,1.06E-04,4.04E-03
1632011_at,2.16E-01,1.06E-04,4.04E-03
